dataset,pair,delta,epsilon,fraction,N,runs,gap,cohort
arc,48,-0.0011848341232220002,0.02,0.9227488151658767,844,30,0.018815165876778,random
arc,49,0.15521327014218,0.02,0.15481832543443919,844,30,0.13521327014218001,random
arc,50,-0.09597156398104201,0.02,0.2911137440758294,844,30,0.075971563981042,random
arc,51,0.022511848341232002,0.02,0.997353870458136,844,30,0.0025118483412320015,random
arc,52,-0.014218009478672002,0.02,0.9949052132701421,844,30,0.005781990521327999,random
arc,53,-0.0260663507109,0.02,0.9911927330173776,844,30,0.0060663507109,random
arc,54,-0.010663507109004001,0.02,0.9191943127962084,844,30,0.009336492890996,random
arc,55,-0.0260663507109,0.02,0.9907187993680885,844,30,0.0060663507109,random
arc,56,0.062796208530805,0.02,0.48507109004739335,844,30,0.042796208530805,random
arc,57,0.07701421800947801,0.02,0.4539099526066351,844,30,0.05701421800947801,random
arc,58,-0.135071090047393,0.02,0.17606635071090046,844,30,0.11507109004739301,random
arc,59,-0.19431279620853,0.02,0.11639020537124803,844,30,0.17431279620853002,random
arc,60,-0.46563981042654,0.02,0.04553712480252765,844,30,0.44563981042654,random
arc,61,0.07701421800947801,0.02,0.4013823064770932,844,30,0.05701421800947801,random
arc,62,-0.11848341232227401,0.02,0.2147314375987362,844,30,0.098483412322274,random
arc,63,-0.06042654028436,0.02,0.44687993680884674,844,30,0.040426540284360005,random
arc,64,0.048578199052132,0.02,0.5564770932069509,844,30,0.028578199052132002,random
arc,65,-0.040284360189573,0.02,0.917219589257504,844,30,0.020284360189573,random
arc,66,0.12440758293838801,0.02,0.18996840442338073,844,30,0.104407582938388,random
arc,67,-0.011848341232227002,0.02,0.9924170616113744,844,30,0.008151658767772999,random
arc,68,0.25355450236966803,0.02,0.09553712480252764,844,30,0.23355450236966804,random
arc,69,0.027251184834123,0.02,0.9831358609794629,844,30,0.007251184834123001,random
arc,70,-0.08293838862559201,0.02,0.37634281200631914,844,30,0.062938388625592,random
arc,71,0.024881516587677004,0.02,0.9773301737756714,844,30,0.004881516587677003,random
arc,72,-0.11848341232227401,0.02,0.2409952606635071,844,30,0.098483412322274,random
arc,73,-0.0035545023696680004,0.02,0.9477488151658768,844,30,0.016445497630332,random
arc,74,0.197867298578199,0.02,0.12270932069510268,844,30,0.17786729857819902,random
arc,75,-0.08412322274881501,0.02,0.35785939968404423,844,30,0.064123222748815,random
arc,76,0.178909952606635,0.02,0.13827014218009478,844,30,0.158909952606635,random
arc,77,-0.011848341232227002,0.02,0.9692338072669826,844,30,0.008151658767772999,random
arc,78,0.075829383886255,0.02,0.4354660347551343,844,30,0.055829383886254996,random
arc,79,-0.12085308056872,0.02,0.20055292259083726,844,30,0.10085308056872,random
arc,80,-0.119668246445497,0.02,0.1977093206951027,844,30,0.099668246445497,random
arc,81,-0.046208530805687,0.02,0.7434044233807267,844,30,0.026208530805687,random
arc,82,-0.039099526066350004,0.02,0.7462085308056872,844,30,0.019099526066350004,random
arc,83,-0.157582938388625,0.02,0.15774091627172196,844,30,0.137582938388625,random
arc,84,0.007109004739336001,0.02,0.890916271721959,844,30,0.012890995260664,random
arc,85,0.0,0.02,0.9631911532385466,844,30,0.02,random
arc,86,-0.15995260663507102,0.02,0.1476303317535545,844,30,0.13995260663507103,random
arc,87,0.268957345971563,0.02,0.07318325434439178,844,30,0.24895734597156302,random
arc,88,-0.252369668246445,0.02,0.08518957345971565,844,30,0.23236966824644503,random
arc,89,-0.045023696682464004,0.02,0.7914691943127962,844,30,0.025023696682464003,random
arc,90,-0.13862559241706102,0.02,0.17065560821484993,844,30,0.11862559241706101,random
arc,91,0.27132701421800903,0.02,0.08830963665086888,844,30,0.251327014218009,random
arc,92,0.063981042654028,0.02,0.46777251184834123,844,30,0.043981042654027996,random
arc,93,-0.14454976303317502,0.02,0.18345181674565564,844,30,0.12454976303317501,random
arc,94,-0.101895734597156,0.02,0.2580963665086888,844,30,0.081895734597156,random
arc,95,0.143364928909952,0.02,0.16125592417061613,844,30,0.123364928909952,random
arc,96,-0.245260663507109,0.02,0.09893364928909953,844,30,0.22526066350710902,random
arc,97,0.0023696682464450004,0.02,0.9526856240126382,844,30,0.017630331753555,random
arc,98,0.119668246445497,0.02,0.24826224328593996,844,30,0.099668246445497,random
arc,99,-0.12322274881516501,0.02,0.19466824644549766,844,30,0.10322274881516501,random
composite,0,-0.18111552120325802,0.02,0.01370029942204582,9574,30,0.16111552120325803,random
composite,1,0.132546480050135,0.02,0.01826822644662628,9574,30,0.112546480050135,random
composite,2,-0.008878211823689001,0.02,0.7234384792145394,9574,30,0.011121788176311,random
composite,3,0.047315646542719005,0.02,0.2802416266276722,9574,30,0.027315646542719004,random
composite,4,-0.20148318362231002,0.02,0.011757537775920897,9574,30,0.18148318362231003,random
composite,5,0.075099227073323,0.02,0.08600724183552678,9574,30,0.055099227073323,random
composite,6,0.04355546271151001,0.02,0.39216976533667575,9574,30,0.023555462711510006,random
composite,7,-0.08063505326927001,0.02,0.06434788663742079,9574,30,0.06063505326927,random
composite,8,-0.16095675788594102,0.02,0.01590766659703363,9574,30,0.14095675788594103,random
composite,9,0.158449968665134,0.02,0.021168442309031404,9574,30,0.138449968665134,random
composite,10,0.050971380823062004,0.02,0.2456131188635889,9574,30,0.030971380823062004,random
composite,11,0.200856486317108,0.02,0.011423299213146717,9574,30,0.18085648631710802,random
composite,12,0.315124294965531,0.02,0.006980711649606574,9574,30,0.295124294965531,random
composite,13,-0.10967202841027701,0.02,0.05111064689088504,9574,30,0.08967202841027701,random
composite,14,0.21715061625235002,0.02,0.01171227630387856,9574,30,0.19715061625235003,random
composite,15,-0.12387716732818001,0.02,0.023887612283267183,9574,30,0.10387716732818,random
composite,16,-0.341654480885732,0.02,0.006106817074019915,9574,30,0.321654480885732,random
composite,17,0.36317108836432005,0.02,0.005612422533249773,9574,30,0.34317108836432003,random
composite,18,0.146020472111969,0.02,0.02262725436947288,9574,30,0.126020472111969,random
composite,19,-0.01598078128264,0.02,0.9737170113501846,9574,30,0.004019218717359999,random
composite,20,-0.18007102569458902,0.02,0.017101873128612215,9574,30,0.16007102569458903,random
composite,21,-0.24315855441821602,0.02,0.009818257781491539,9574,30,0.22315855441821603,random
composite,22,0.122832671819511,0.02,0.03383817282919017,9574,30,0.102832671819511,random
composite,23,0.11969918529350301,0.02,0.036233549195738464,9574,30,0.09969918529350301,random
composite,24,0.010653854188426001,0.02,0.8597938862196225,9574,30,0.009346145811573999,random
composite,25,0.07374138291205301,0.02,0.05465148666527401,9574,30,0.05374138291205301,random
composite,26,0.132650929601002,0.02,0.025273309658101803,9574,30,0.112650929601002,random
composite,27,0.16221015249634402,0.02,0.020398997284311677,9574,30,0.14221015249634403,random
composite,28,0.21568832254021303,0.02,0.011485968943666876,9574,30,0.19568832254021304,random
composite,29,-0.237727177773135,0.02,0.009591950421279855,9574,30,0.21772717777313502,random
composite,30,-0.216628368498015,0.02,0.013038785599888587,9574,30,0.19662836849801502,random
composite,31,-0.033841654480885004,0.02,0.6213146716802451,9574,30,0.013841654480885004,random
composite,32,0.051598078128264,0.02,0.1807743193370935,9574,30,0.031598078128264,random
