case,N,q,gap,delta,epsilon,variance,method,runs,fraction,errors,error_upper
N5000_q0.8_o0.04,5000,0.8,0.039999999999999,0.06,0.02,0.7963999999999991,direct_betting,300,0.47566533333333333,0,0.012220974694293552
N5000_q0.8_o0.04,5000,0.8,0.039999999999999,0.06,0.02,0.7963999999999991,eb_grid,300,0.5516613333333333,0,0.012220974694293552
N5000_q0.8_o0.04,5000,0.8,0.039999999999999,0.06,0.02,0.7963999999999991,planned_gaussian,300,0.52208,0,0.012220974694293552
constant_N1000_b0.0,1000,0.0,0.02,0.0,0.02,0.0,direct_betting,300,0.497,0,0.012220974694293552
constant_N1000_b0.0,1000,0.0,0.02,0.0,0.02,0.0,eb_grid,300,0.515,0,0.012220974694293552
constant_N1000_b0.0,1000,0.0,0.02,0.0,0.02,0.0,planned_gaussian,300,0.02,0,0.012220974694293552
constant_N1000_b0.016,1000,0.0,0.004,0.016,0.02,4.814824860968091e-35,direct_betting,300,0.969,0,0.012220974694293552
constant_N1000_b0.016,1000,0.0,0.004,0.016,0.02,4.814824860968091e-35,eb_grid,300,0.974,0,0.012220974694293552
constant_N1000_b0.016,1000,0.0,0.004,0.016,0.02,4.814824860968091e-35,planned_gaussian,300,0.02,0,0.012220974694293552
constant_N1000_b0.018,1000,0.0,0.002,0.018000000000000002,0.02,0.0,direct_betting,300,0.9979999999999999,0,0.012220974694293552
constant_N1000_b0.018,1000,0.0,0.002,0.018000000000000002,0.02,0.0,eb_grid,300,0.9979999999999999,0,0.012220974694293552
constant_N1000_b0.018,1000,0.0,0.002,0.018000000000000002,0.02,0.0,planned_gaussian,300,0.02,0,0.012220974694293552
constant_N1000_b0.02,1000,0.0,0.0,0.02,0.02,0.0,direct_betting,300,1.0,0,0.012220974694293552
constant_N1000_b0.02,1000,0.0,0.0,0.02,0.02,0.0,eb_grid,300,1.0,0,0.012220974694293552
constant_N1000_b0.02,1000,0.0,0.0,0.02,0.02,0.0,planned_gaussian,300,0.045,300,1.0
constant_N1000_b0.022,1000,0.0,0.001999999999999,0.022,0.02,0.0,direct_betting,300,0.999,0,0.012220974694293552
constant_N1000_b0.022,1000,0.0,0.001999999999999,0.022,0.02,0.0,eb_grid,300,0.999,0,0.012220974694293552
constant_N1000_b0.022,1000,0.0,0.001999999999999,0.022,0.02,0.0,planned_gaussian,300,0.02,0,0.012220974694293552
constant_N1000_b0.024,1000,0.0,0.004,0.024,0.02,1.2037062152420219e-35,direct_betting,300,0.969,0,0.012220974694293552
constant_N1000_b0.024,1000,0.0,0.004,0.024,0.02,1.2037062152420219e-35,eb_grid,300,0.974,0,0.012220974694293552
constant_N1000_b0.024,1000,0.0,0.004,0.024,0.02,1.2037062152420219e-35,planned_gaussian,300,0.02,0,0.012220974694293552
constant_N1000_b0.04,1000,0.0,0.02,0.04,0.02,0.0,direct_betting,300,0.497,0,0.012220974694293552
